.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Lithuanian defined by Microsoft
;
.LANGID 0x427

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Nežinomas tipas
0x43	Itin didelis ežeras, 1,1–3,3 t.km²
0x44	Didelis ežeras, 0,6–1,1 t.km²
0x46	Pagrindinė upė
0x47	Didelė upė
0x48	Vidutinio dydžio upė
0x49	Maža upė
0x4c	Nutrūkstantis vanduo

;0x4a	
0x4b	Plotas žemėlapio aprėptis

0x4d	Ledynas
0x4e	Sodas / plantacija
0x4f	Brūzgynai
0x50	Miškas
0x51	Drėgnos pievos / pelkės
0x52	Tundra
0x53	Smėlio / užliejama / purvo plynė
