.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Arabic (Saudi Arabia) defined by Microsoft
;
.LANGID 0x401

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	نوع غير معروف
0x42	بحيرة رئيسية، أكثر من 3.3 طن.كم2 
0x43	بحيرة رئيسية، 1.1-3.3 طن.كم2
0x44	بحيرة كبيرة، 0.6- 1.1 طن.كم2
0x46	>1 km نهر رئيسي
0x47	200 m-1 km نهر كبير
0x48	40-200 m نهر متوسط
0x49	<40 m نهر صغير
0x4c	مياه متقطعة

0x4a	مجال اختيار الخريطة
0x4b	مجال تغطية الخريطة

0x4d	نهر جليدي
0x4e	بستان
0x4f	حرج
0x50	غابة
0x51	أراضي رطبة/مستنقع
0x52	تندرا
0x53	رمال/مد وجزر/شقة الطين
