.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Romanian defined by Microsoft
;
.LANGID 0x418

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Tip necunoscut
0x08	Ieşire de pe magistrală
0x09	Ieşire accelerată de pe magistrală
0x0a	Drumuri nepavate
0x0b	Joncţiune şosele
0x0c	Sens giratoriu
0x16	Alee/cărare
0x14	Cale ferată
0x1a	Bac
0x1b	Bac

0x19	Hotar fus orar
0x1e	Hotar internaţional
0x1c	Hotar provincie/regiune
0x1d	Hotar judeţ/raion

0x15	Linia malului
0x18	Pârău
0x1f	Râu
0x26	Râu/pârău în secare

0x20	Izolinii minore
0x21	Izolinii medii
0x22	Izolinii majore
0x23	Izobare minore
0x24	Izobare medii
0x25	Izobare majore

0x27	Aeroportul pistă de decolare (axa)
0x28	Conducte
0x29	Fire electrice

0x2a	Hotar maritim
0x2b	Pericol maritim

;========================================================================================

.POLYGON

0x01	Sector localitate majoră
0x02	Sector localitate medie
0x03	Case în zonă rurală

0x04	Unitate militară
0x05	Parcare auto
0x06	Garaje auto
0x07	Aeroport
0x08	Centru comercial
0x09	Port
0x0a	Universitate/colegiu
0x0b	Spital
0x0c	Zonă industrială
0x0d	Rezervaţie naturală
0x0e	Pistă de decolare
0x13	Clădiri
0x18	Câmp de golf
0x19	Complex sportiv
0x1a	Cimitir

0x14	Parc naţional
0x15	Parc naţional
0x16	Parc naţional
0x17	Parc urban
0x1e	Parc public
0x1f	Parc public
0x20	Parc public

0x28	Mare/ocean
0x29	Ape
0x32	Mare
0x3b	Ape
0x3c	Lac mare, 250-600 km²
0x3d	Lac mare, 77-250 km²
0x3e	Lac mediu, 25-77 km²
0x3f	Lac mediu, 11-25 km²
0x40	Lac mic, 0.25-11 km²
0x41	Lac mic, sub 0.25 km²
0x42	Lac f. mare, peste 3300 km²
0x43	Lac f. mare, 1100-3300 km²
0x44	Lac mare, 600-1100 km²
0x45	Ape
0x46	Râu f. mare, >1 km
0x47	Râu mare, 200 m-1 km
0x48	Râu mediu, 40-200 m
0x49	Râu mic, <40 m
0x4c	Râu/lac ce seacă

0x4a	Zona de selecţie hartă
0x4b	Zona de acoperire hartă

0x4d	Gheţar
0x4e	Grădini/livezi
0x4f	Tufiş/arbuşti
0x50	Pădure
0x51	Mlaştină
0x52	Tundră
0x53	Banc de nisip
