.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
;

.TYPESET Garmin

; The Language ID for Latvian defined by Microsoft
;
.LANGID 0x426

;========================================================================================

; Placeholder for unknown type
;
.UNKNOWN	Nezināms tips

; Land features
0x6600	Sauszemes objekts
0x6601	Arka
0x6602	Apgabals
0x6603	Baseins
0x6604	Pludmale
0x6605	Zemes strēle
0x6606	Zemesrags
0x6607	Klints
0x6608	Krāteris
0x6609	Plato
0x660a	Mežs
0x660b	Aiza
0x660c	Šaura eja
0x660d	Zemesšaurums
0x660e	Lava
0x660f	Stabs
0x6610	Līdzenums
0x6611	Grēda
0x6612	Rezervāts
0x6613	Kore
0x6614	Klints
0x6615	Nogāze
0x6616	Virsotne
0x6617	Ieleja
0x6618	Meža platība

;========================================================================================

.POLYLINE

0x00	Ceļš

; Three levels of highways
0x01	Liela šoseja
0x02	Galvenā šoseja
0x03	Citi lielceļi

; Most important kind of street
0x04	Automaģistrāle
; Medium important kind of street
0x05	Lielceļš
; Ordinary street (80%)
0x06	Maza ieliņa
; Smallest kind of street
0x07	Šaura ieliņa/privāta brauktuve

0x08	Slīpa nobrauktuve, mazs ātrums
0x09	Slīpa nobrauktuve, liels ātrums
0x0a	Nebruģēts ceļš
0x0b	Liels šosejas savienotājposms
0x0c	Apvedceļš
0x16	Gājēju ceļš/taka
0x14	Dzelzceļš
0x1a	Ūdens vai dzelzceļa prāmis
0x1b	Ūdens vai dzelzceļa prāmis

0x19	Laika joslas robeža
0x1e	Starptautiskā robeža
0x1c	Štata/provinces robeža
0x1d	Pavalsts/pagasta robeža

0x15	Ūdens tilpnes krasta līnja
0x18	Strauts
0x1f	Upe
0x26	Sezonāla ūdenskrātuve

0x20	Smalka sauszemes kontūra
0x21	Vidēja sauszemes kontūra
0x22	Bieza sauszemes kontūra
0x23	Smalka dziļuma kontūra
0x24	Vidēja dziļuma kontūra
0x25	Bieza dziļuma kontūra

0x27	Lidostas skrejceļa centrālā līnija
0x28	Naftas vai ūdens cauruļvads
0x29	Elektrolīnija

0x2a	Jūras robeža
0x2b	Jūras briesmas

;========================================================================================

.POLYGON

0x01	Liela pilsētas teritorija
0x02	Maza pilsētas teritorija
0x03	Lauku dzīvojamā teritorija

0x04	Militārā bāze
0x05	Autostāvvieta
0x06	Garāža
0x07	Lidosta
0x08	Tirdzniecības centrs
0x09	Jahtu piestātne
0x0a	Universitāte/koledža
0x0b	Slimnīca
0x0c	Industriālais komplekss
0x0d	Rezervāts
0x0e	Lidostas skrejceļš
0x13	Mākslīgi radīta teritorija
0x18	Golfa laukums
0x19	Sporta komplekss
0x1a	Kapsēta

0x14	Nacionālais parks
0x15	Nacionālais parks
0x16	Nacionālais parks
0x17	Pilsētas parki
0x1e	Valsts parks
0x1f	Valsts parks
0x20	Valsts parks

0x28	Jūra/okeāns
0x32	Jūra
0x3c	Liels ezers, 250-600 km²
0x3d	Liels ezers, 77-250 km²
0x3e	Vidējs ezers, 25-77 km²
0x3f	Vidējs ezers, 11-25 km²
0x40	Mazs ezers, 0,25-11 km²
0x41	Mazs ezers, mazāk nekā 0,25 km²
0x42	Ļoti liels ezers, vairāk nekā 3,3 t. km²
0x43	Ļoti liels ezers, 1,1-3,3 t. km²
0x44	Liels ezers, 0,6-1,1 t. km²
0x46	Ļoti liela upe
0x47	Liela upe
0x48	Vidēja upe
0x49	Maza upe
0x4c	Sezonāla ūdenskrātuve

;0x4a	
0x4b	Platība kartes pārklājums

0x4d	Šļūdonis
0x4e	Augļu dārzs/plantācija
0x4f	Krūmājs
0x50	Mežs
0x51	Mitrzeme/purvs
0x52	Tundra
0x53	Smilšājs/sēre/purvājs
